Date,Takeaway Amount
22-03-21,480.00
22-03-21,320.00
23-03-21,480.00
24-03-21,800.00
24-03-21,320.00
25-03-21,320.00
26-03-21,640.00
26-03-21,535.00
26-03-21,360.00
27-03-21,520.00
27-03-21,1195.00
30-03-21,495.00
31-03-21,410.00
31-03-21,320.00
01-04-21,160.00
01-04-21,160.00
03-04-21,160.00
05-04-21,160.00
06-04-21,320.00
07-04-21,480.00
09-04-21,320.00
09-04-21,160.00
10-04-21,320.00
11-04-21,160.00
12-04-21,320.00
12-04-21,160.00
12-04-21,320.00
13-04-21,320.00
13-04-21,160.00
13-04-21,405.00
14-04-21,160.00
15-04-21,160.00
15-04-21,245.00
17-04-21,160.00
17-04-21,160.00
19-04-21,320.00
20-04-21,160.00
21-04-21,160.00
21-04-21,405.00
23-04-21,160.00
24-04-21,320.00
25-04-21,265.00
27-04-21,160.00
29-04-21,160.00
15-05-21,160.00
21-05-21,320.00
26-05-21,160.00
27-05-21,530.00
28-05-21,160.00
28-05-21,1120.00
28-05-21,800.00
31-05-21,530.00
31-05-21,210.00
09-06-21,480.00
09-06-21,480.00
09-06-21,480.00
10-06-21,800.00
11-06-21,800.00
12-06-21,160.00
14-06-21,415.00
14-06-21,160.00
15-06-21,160.00
15-06-21,160.00
16-06-21,160.00
19-06-21,160.00
22-06-21,470.00
22-06-21,160.00
22-06-21,320.00
22-06-21,160.00
23-06-21,320.00
23-06-21,320.00
23-06-21,835.00
24-06-21,320.00
24-06-21,480.00
25-06-21,825.00
26-06-21,945.00
26-06-21,320.00
28-06-21,435.00
28-06-21,160.00
28-06-21,160.00
28-06-21,891.00
29-06-21,1115.00
29-06-21,320.00
30-06-21,2135.00
01-07-21,320.00
01-07-21,160.00
01-07-21,1350.00
01-07-21,1325.00
01-07-21,160.00
02-07-21,480.00
02-07-21,685.00
03-07-21,722.00
05-07-21,160.00
05-07-21,160.00
05-07-21,152.00
06-07-21,320.00
06-07-21,720.00
06-07-21,1375.00
07-07-21,320.00
07-07-21,1100.00
08-07-21,1230.00
08-07-21,480.00
08-07-21,160.00
09-07-21,1430.00
09-07-21,480.00
10-07-21,480.00
10-07-21,1360.00
12-07-21,160.00
12-07-21,160.00
13-07-21,400.00
13-07-21,160.00
14-07-21,640.00
14-07-21,825.00
15-07-21,1010.00
15-07-21,160.00
16-07-21,600.00
17-07-21,990.00
17-07-21,160.00
19-07-21,480.00
19-07-21,1600.00
20-07-21,1360.00
20-07-21,800.00
21-07-21,1585.00
21-07-21,160.00
22-07-21,160.00
22-07-21,1350.00
23-07-21,160.00
23-07-21,655.00
24-07-21,160.00
24-07-21,640.00
25-07-21,480.00
25-07-21,910.00
26-07-21,320.00
26-07-21,1300.00
27-07-21,640.00
27-07-21,160.00
27-07-21,80.00
28-07-21,160.00
28-07-21,1620.00
29-07-21,160.00
29-07-21,2650.00
30-07-21,800.00
30-07-21,2900.00
31-07-21,1905.00
02-08-21,160.00
02-08-21,2300.00
02-08-21,160.00
03-08-21,160.00
03-08-21,2600.00
04-08-21,725.00
04-08-21,1355.00
05-08-21,1855.00
06-08-21,640.00
06-08-21,1505.00
07-08-21,1185.00
08-08-21,2925.00
09-08-21,480.00
09-08-21,160.00
10-08-21,160.00
10-08-21,320.00
10-08-21,800.00
10-08-21,2080.00
11-08-21,200.00
11-08-21,1035.00
12-08-21,160.00
12-08-21,835.00
13-08-21,320.00
13-08-21,1110.00
13-08-21,480.00
14-08-21,320.00
14-08-21,1265.00
16-08-21,1060.00
16-08-21,160.00
17-08-21,960.00
18-08-21,1280.00
18-08-21,320.00
19-08-21,1920.00
21-08-21,1460.00
21-08-21,160.00
24-08-21,400.00
24-08-21,320.00
25-08-21,1600.00
26-08-21,1440.00
28-08-21,160.00
28-08-21,900.00
30-08-21,840.00
30-08-21,160.00
